telegram_id,user_id,post_url,campaign_tag,message_sent_at,message_status,event_sent_at,event_status
806211815,79e937e9-226d-49d3-b49a-59e2e7db1183,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
7644609594,7f8680ea-7228-4929-bf0e-41d5a5b3badc,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
5135676309,0566597a-f98c-4b74-8303-ad0c296ebe41,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
1674968796,fc58c258-a316-4370-aed9-ad2c53cf61b9,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7165575168,b47da76c-e976-45cf-b770-95e28b2382b4,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
6377794135,75993c94-17c5-4195-8a53-9ca02080a021,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
8036897376,1c80a29d-b0ca-4d38-882a-ed93ae6bd87d,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7553614564,68ef95da-aaec-471b-ab13-951eafb36c5e,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
7130834024,991c03dd-8349-45b2-8e80-c5db4debfbf4,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7255737172,7ec8a9e0-0f5b-4e61-a35a-cc8e5a883623,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
777823499,1375cf75-a6bc-4fbb-81a6-07e55965c9cc,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7421773594,f967680f-f77d-4a28-b5e3-02263ae6dd08,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
6224204206,e123d024-ac9f-4897-a95f-85c66044d5fa,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:19.962133+00:00,ok,2025-07-08T19:22:21.837258+00:00,ok
7936546945,5baee495-01c8-4bb1-b46b-e5c16b59d54d,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:22.903112+00:00,ok,2025-07-08T19:22:24.575631+00:00,ok
1403839440,e86c0d1d-085a-4f1f-9b98-b9a6f782f4aa,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
895934404,54022f70-0b21-4ab5-926b-a0b61d5b051a,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
7699111912,81055b7d-d8c2-4be4-af29-0bf916cba228,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:27.785537+00:00,ok,2025-07-08T19:22:29.536135+00:00,ok
6625093113,00dd0e24-e55f-4146-a322-ee3f1d144551,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
5497998854,fc5beb07-e67e-40f6-8e60-c41b438d2aed,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
5145633533,d1c400c0-1eb5-4216-9fa3-0c9d344f2a2c,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:32.744429+00:00,ok,2025-07-08T19:22:34.658254+00:00,ok
8051457616,a9c6aafc-e6cd-46cb-a357-e1629645a272,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:35.800358+00:00,ok,2025-07-08T19:22:37.442666+00:00,ok
1721961354,c3f3532d-51c6-4905-8f9a-d446498411e5,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:38.504172+00:00,ok,2025-07-08T19:22:40.217570+00:00,ok
6976964454,a772751a-071c-479a-afdf-62e749115bee,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7549861507,22c64764-fb9c-4c0f-a9c8-c384074c1474,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:42.461759+00:00,ok,2025-07-08T19:22:44.225754+00:00,ok
7865448377,43c50f98-3c6f-4b88-885e-a213d1e72d80,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:45.305188+00:00,ok,2025-07-08T19:22:46.976785+00:00,ok
585756358,0dab27b8-5f4a-4d2a-85b2-64ea432553d1,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
6921142799,1d8e8ed2-b811-4f18-8f90-2f73ff1c497a,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:49.389269+00:00,ok,2025-07-08T19:22:51.136817+00:00,ok
5982360060,0e78d6c9-036f-4448-899f-030b8c535f9b,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
6203330985,758abf82-5be1-4091-80f8-c1c04ad5b2c1,https://t.me/c/2620006618/60,wb_adelina_1,,Bad Request: chat not found,,
6449179583,d23011d7-d980-4f87-b642-ac99e1d77ab8,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:54.626527+00:00,ok,2025-07-08T19:22:56.299401+00:00,ok
76976,86c7340e-2312-4a74-a903-f8805a1952dc,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:22:57.614275+00:00,ok,2025-07-08T19:22:59.333424+00:00,ok
7763378859,faaabc67-81a9-47dc-ae65-62f2320076bd,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
5227543464,04b2c845-bfd4-4d13-9061-ebf13b52a06b,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
6797105566,cabcf5c7-af45-49f5-9f44-74481206ddbb,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
7873375033,e6911694-13d5-4115-8ab6-e3d73a9bf9d9,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:03.616556+00:00,ok,2025-07-08T19:23:05.320926+00:00,ok
7303748504,3407d9c0-bce1-4feb-82a2-b7f6b575cfa9,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
6921515692,8d1191ae-e3e9-4057-9f27-23e698cec9ba,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:07.437602+00:00,ok,2025-07-08T19:23:09.108598+00:00,ok
5624066999,614e3548-7825-4a5f-a800-480bb699c1b3,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
1938846569,56976b0a-7b17-410f-acc4-a42f4ea513d8,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:11.243690+00:00,ok,2025-07-08T19:23:12.792670+00:00,ok
1832346450,cd456920-c9c3-4bc7-bcf8-2777b5e85b5d,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
8157106298,dd411bb4-1085-4917-b418-06a852b40b31,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:15.014989+00:00,ok,2025-07-08T19:23:16.687560+00:00,ok
2126366639,22094f9b-d182-493e-b1fb-d03765247c54,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:17.855565+00:00,ok,2025-07-08T19:23:19.525598+00:00,ok
7157875481,d1e9ea64-b66d-4a1f-8bb2-e908e87f223f,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:20.685087+00:00,ok,2025-07-08T19:23:22.450637+00:00,ok
8156521631,592e76b5-0ce4-411e-b4fd-05c14ef61356,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:23.776957+00:00,ok,2025-07-08T19:23:25.454301+00:00,ok
7725908325,ffdd0cac-de04-4145-95a8-fe9f89f33e52,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:26.531931+00:00,ok,2025-07-08T19:23:28.167144+00:00,ok
7795777268,9f8289af-9e12-4d25-91a1-a9ad4d6ebffd,https://t.me/c/2620006618/60,wb_adelina_1,2025-07-08T19:23:29.327228+00:00,ok,2025-07-08T19:23:30.972501+00:00,ok
7746695322,a1a87a9b-f37e-4698-9295-06108b04793a,https://t.me/c/2620006618/60,wb_adelina_1,,Forbidden: bot was blocked by the user,,
1734811424,46afa3ec-cf79-4646-b1d7-a3c62a865d6a,https://t.me/c/2620006618/58,wb_aiko_1,2025-07-08T19:23:33.534669+00:00,ok,2025-07-08T19:23:35.212831+00:00,ok
6777848840,b1154a3e-e8d6-44d3-8642-072614f343af,https://t.me/c/2620006618/58,wb_aiko_1,,Forbidden: bot was blocked by the user,,
7300950615,3aa1f1fb-7c56-446b-b6d4-819d664cc458,https://t.me/c/2620006618/58,wb_aiko_1,,Forbidden: bot was blocked by the user,,
7971846312,99edc2de-df4c-4234-838f-97bbdd7a743b,https://t.me/c/2620006618/58,wb_aiko_1,,Forbidden: bot was blocked by the user,,
6658777078,7886b3c8-d624-4e0d-84a2-c2572f433457,https://t.me/c/2620006618/58,wb_aiko_1,,Forbidden: bot was blocked by the user,,
